Year,Organization Name,Organization Type,Description of Data Breach,Country,Financial Impacts,Reutational impacts,Method of Breach,Source Of News
2011,Tata Consultancy Services (TCS),IT Services,Client data breached during a cyber attack,India,"$3,000,000",High,Cyber attack,Reuters
2011,LinkedIn,Social Network,"Hacked, passwords leaked",USA,10000000,High,Hacking,Forbes
2011,Steam,Gaming Platform,"Hacked, customer data exposed",USA,3000000,High,Hacking,PC Gamer
2011,Nvidia,Technology,"Hacked, user data exposed",USA,2000000,Moderate,Hacking,TechRadar
2011,IMF,Financial,Cyberattack on internal network,USA,5000000,High,Hacking,Financial Times
2011,Michael's Stores,Retail,Card skimming at multiple locations,USA,2000000,Moderate,Skimming,USA Today
2011,RSA Security,Security Firm,SecurID tokens compromised,USA,66000000,High,Hacking,The Wall Street Journal
2011,Sony BMG,Music Company,"Hacked, customer data leaked",USA,4000000,High,Hacking,Rolling Stone
2011,Zappos,Retail,"Hacked, customer info exposed",USA,3000000,High,Hacking,NBC News
2011,HDFC Bank,Financial Services,ATM data compromised due to malware infection,India,"$2,500,000",High,Malware infection,Economic Times
2012,LinkedIn,Social Network,Passwords of 6.5M accounts stolen,USA,1000000,High,Hacking,VisualEdgeIT
2012,Global Payments,Payment Processor,Card data of 1.5M accounts compromised,USA,94000000,High,Hacking,ThreatAdvice
2012,Infosys,IT Services,Intellectual property data exposed by insider threat,India,"$2,000,000",High,Insider threat,Business Standard
2012,South Carolina Dept. of Revenue,Government,Personal info of 3.8M tax filers accessed,USA,140000000,High,Phishing,ThreatAdvice
2012,Wyndham Worldwide,Hospitality,Credit card data of 600K customers exposed,USA,10000000,High,Hacking,Oxford Academic
2012,Emory Healthcare,Healthcare,Data of 315K patients lost,USA,5000000,High,Theft,ThreatAdvice
2012,Flipkart,E-commerce,Payment information compromised in a hacking incident,India,"$1,800,000",High,Hacking incident,Times of India
2012,Visa/Mastercard,Payment Processor,Data breach involving payment cards,USA,100000000,High,Hacking,ThreatAdvice
2012,Blizzard Entertainment,Gaming,User account data including email addresses and encrypted passwords accessed,USA,2000000,Moderate,Hacking,VisualEdgeIT
2012,Yahoo!,Internet Services,Email addresses and passwords of 450K users leaked,USA,20000000,High,Hacking,ThreatAdvice
2012,South Carolina Dept. of Revenue,Government,Personal data of 3.8M taxpayers exposed,USA,140000000,High,Phishing,Oxford Academic
2012,Global Payments,Payment Processor,Card data of 1.5M users stolen,USA,94000000,High,Hacking,VisualEdgeIT
2012,Airtel,Telecommunications,Customer records leaked due to unsecured database,India,"$1,200,000",Moderate,Unsecured DB,Economic Times
2012,Zappos,Retail,Data of 24M customers compromised,USA,5000000,High,Cyberattack,ThreatAdvice
2012,Utah Department of Health,Government,Personal info of 780K people stolen,USA,3000000,High,Hacking,VisualEdgeIT
2012,Dropbox,Cloud Storage,User emails and passwords accessed,USA,2000000,Moderate,Hacking,ThreatAdvice
2012,ICICI Bank,Financial Services,Credit card information stolen from database,India,"$4,500,000",High,Database breach,Hindustan Times
2012,Wyndham Worldwide,Hospitality,Card data of 600K users stolen,USA,10000000,High,Hacking,Oxford Academic
2012,Nationwide,Insurance,Data of 1.1M customers exposed,USA,5000000,Moderate,Hacking,ThreatAdvice
2012,NASA,Government,"Data of 10,000 employees stolen",USA,5000000,Moderate,Hacking,VisualEdgeIT
2012,Emory Healthcare,Healthcare,Personal data of 315K patients lost,USA,5000000,High,Theft,ThreatAdvice
2013,Target Corporation,Retail,Theft of credit and debit card information from 70 million customers,USA,162000000,High,Hacking,"Infosec, ar5iv.org"
2013,Yahoo,Technology,"Breach affecting all 3 billion accounts, including names and encrypted passwords",USA,350000000,High,Hacking,"NY Times, PECB"
2013,Adobe Systems,Software,"Compromise of 152 million records, including customer information and source code",USA,100000000,High,Hacking,Infosec
2013,Neiman Marcus,Retail,"Credit card data theft affecting 350,000 cards",USA,10000000,High,Malware,Infosec
2013,Evernote,Technology,"Unauthorized access to customer usernames, email addresses, and encrypted passwords",USA,5000000,Moderate,Hacking,Infosec
2013,LivingSocial,E-commerce,50 million user accounts compromised including names and encrypted passwords,USA,5000000,Moderate,Hacking,Infosec
2013,Facebook,Social Media,Exposure of 6 million users' email addresses and phone numbers,USA,3000000,Moderate,Software Bug,Business Insider
2013,Vodafone,Telecommunications,Personal details of 2 million German customers compromised,Germany,5000000,High,Hacking,"BBC, PECB"
2013,Korea Credit Bureau,Financial Services,Personal data of 20 million South Koreans stolen,South Korea,10000000,High,Insider,Infosec
2013,Schnucks,Retail,2.4 million credit and debit cards compromised,USA,5000000,Moderate,Hacking,Infosec
2013,Washington State Courts,Government,"160,000 social security numbers and 1 million driver's licenses exposed",USA,5000000,High,Hacking,Infosec
2013,LaCie,Technology,Credit card information and passwords compromised,USA,1000000,Moderate,Hacking,Infosec
2013,TrueCrypt,Software,Source code repository hacked,USA,1000000,Low,Hacking,Infosec
2013,Wipro,IT Services,Client data compromised through compromised email accounts,India,"$5,000,000",High,Email compromise,The Hindu
2013,AT&T,Telecommunications,Unauthorized access to customer information,USA,5000000,Moderate,Insider,Infosec
2013,Snapchat,Social Media,Usernames and phone numbers of 4.6 million users exposed,USA,1000000,Moderate,Hacking,Infosec
2013,Federal Reserve,Government,"Information on 10,000 banking executives stolen",USA,2000000,High,Hacking,Infosec
2013,Paytm,Financial Services,User accounts breached via phishing attack,India,"$800,000",Moderate,Phishing,NDTV
2013,Kickstarter,E-commerce,"Data breach affecting usernames, email addresses, and encrypted passwords",USA,500000,Moderate,Hacking,Infosec
2013,NASDAQ,Financial Services,Cyber-attack targeting internal systems,USA,10000000,High,Hacking,Infosec
2013,ONGC (Oil and Natural Gas Corporation),Energy,Sensitive operational data exposed in cyber espionage,India,"$10,000,000",High,Cyber espionage,Economic Times
2013,South Carolina Department of Revenue,Government,Social security numbers and tax information of 3.6 million residents exposed,USA,10000000,High,Hacking,Infosec
2013,Bit9,Technology,Hackers accessed internal systems to distribute malware,USA,1000000,Moderate,Hacking,Infosec
2013,The Spamhaus Project,Non-Profit,Distributed denial-of-service (DDoS) attack,International,500000,Moderate,DDoS Attack,Infosec
2013,Bharat Heavy Electricals Limited (BHEL),Manufacturing,Employee data leaked due to third-party vendor breach,India,"$600,000",Moderate,Vendor breach,Business Today
2013,Smucker's,Food and Beverage,Unauthorized access to customer credit card information,USA,5000000,Moderate,Hacking,Infosec
2013,National White Collar Crime Center,Government,Data breach exposing personal information of employees,USA,1000000,Moderate,Hacking,Infosec
2013,Maricopa County Community College District,Education,Breach affecting personal information of 2.4 million people,USA,5000000,High,Hacking,Infosec
2013,PR Newswire,Media,Hackers accessed customer usernames and passwords,USA,1000000,Moderate,Hacking,Infosec
2014,eBay,E-commerce,Data of 145 million users compromised,USA,"200,000,000",High,Stolen credentials,Forbes
2014,JPMorgan Chase,Finance,Data of 83 million households breached,USA,"1,000,000,000",High,Hacked database,BBC
2014,Vodafone India,Telecommunications,Customer data accessed by unauthorized personnel,India,"3,200,000",High,Unauthorized access,Times of India
2014,Home Depot,Retail,Data of 56 million payment cards stolen,USA,"62,000,000",High,Point of sale malware,CNN
2014,Sony Pictures,Entertainment,"Data of 47,000 employees leaked",USA,"100,000,000",High,Hacked by Guardians of Peace,The Guardian
2014,Community Health Systems,Healthcare,Data of 4.5 million patients compromised,USA,"150,000,000",High,Cyberattack,Reuters
2014,Kmart,Retail,"Data of 2,200 stores compromised",USA,"50,000,000",High,Malware attack,Forbes
2014,Cognizant Technology Solutions,IT Services,Intellectual property stolen by ex-employees,India,"6,500,000",High,Insider theft,Livemint
2014,Michaels Stores,Retail,Data of 2.6 million payment cards stolen,USA,"35,000,000",High,Point of sale malware,CNN
2014,Neiman Marcus,Retail,Data of 1.1 million payment cards stolen,USA,"20,000,000",High,Point of sale malware,The Guardian
2014,P.F. Chang's,Food and Beverage,Data of 7 million payment cards stolen,USA,"2,000,000",High,Point of sale malware,Forbes
2014,Goodwill Industries,Non-profit,"Data of 868,000 payment cards stolen",USA,"2,000,000",High,Malware attack,CNN
2014,Dairy Queen,Food and Beverage,"Data of 600,000 payment cards stolen",USA,"2,500,000",High,Malware attack,The Guardian
2014,Jimmy John's,Food and Beverage,Data of 216 stores breached,USA,"4,500,000",High,Point of sale malware,Reuters
2014,Staples,Retail,Data of 1.16 million payment cards stolen,USA,"10,000,000",High,Point of sale malware,Forbes
2014,SuperValu,Retail,Data of 60 million payment cards stolen,USA,"200,000,000",High,Point of sale malware,CNN
2014,UPS Store,Retail,"Data of 105,000 payment cards stolen",USA,"5,000,000",High,Malware attack,The Guardian
2014,Mahindra & Mahindra,Automotive,Employee payroll data leaked due to internal error,India,"400,000",Low,Internal error,Business Standard
2014,Bebe Stores,Retail,Data of 200 stores breached,USA,"5,000,000",High,Malware attack,Reuters
2014,Albertsons,Retail,Data of 700 stores compromised,USA,"5,000,000",High,Malware attack,Forbes
2014,Acme Markets,Retail,Data of 135 stores breached,USA,"4,000,000",High,Malware attack,CNN
2014,Shaw's Supermarkets,Retail,Data of 107 stores compromised,USA,"3,000,000",High,Malware attack,The Guardian
2014,Hindustan Unilever,Consumer Goods,Customer information compromised during website vulnerability,India,"1,000,000",Moderate,Website vulnerability,Economic Times
2014,Save Mart Supermarkets,Retail,Data of 39 stores breached,USA,"1,500,000",High,Malware attack,Reuters
2014,Safeway,Retail,Data of 79 stores breached,USA,"5,500,000",High,Malware attack,Forbes
2014,Sony Online Entertainment,Entertainment,Data of 25 million users breached,USA,"1,200,000",High,Cyberattack,CNN
2014,VFW,Non-profit,"Data of 55,000 members stolen",USA,"500,000",High,Cyberattack,The Guardian
2014,Albertsons Companies,Retail,"Data of 30,000 employees compromised",USA,"1,000,000",High,Cyberattack,Reuters
2015,Excellus BlueCross BlueShield,Healthcare,Data breach exposing information of 10 million customers,USA,"17,000,000",High,Hacking,Digital Guardian
2015,Premera,Healthcare,Data breach affecting 11 million customers with sensitive information exposed,USA,"74,000,000",High,Hacking,Digital Guardian
2015,Tech Mahindra,IT Services,Client data exposed through cloud misconfiguration,India,"1,500,000",High,Cloud misconfig,Economic Times
2015,VTech,Technology,Breach exposing data of 4.9 million parents and 6.4 million children,Hong Kong,"1,000,000",High,Hacking,Digital Guardian
2015,T-Mobile (via Experian),Telecommunications,Data breach exposing personal data of 15 million customers,USA,"15,000,000",High,Third-party breach,Digital Guardian
2015,Office of Personnel Management,Government,Breach exposing personal information of 21.5 million government workers,USA,"133,000,000",High,Hacking,Digital Guardian
2015,Bajaj Auto,Automotive,Design specifications stolen by cyber criminals,India,"3,800,000",High,Cyber theft,The Hindu
2015,Ashley Madison,Social Networking,Data breach exposing records of 37 million users,USA,"1,000,000",High,Hacking,Digital Guardian
2015,Anthem,Healthcare,Breach exposing data of 78.8 million individuals,USA,"100,000,000",High,Hacking,Hartman Advisors
2015,UCLA Health,Healthcare,Breach exposing data of 4.5 million patients,USA,"8,500,000",High,Hacking,Hartman Advisors
2015,Experian,Credit Reporting,Breach impacting 15 million T-Mobile customers,USA,"20,000,000",High,Hacking,Hartman Advisors
2015,JP Morgan Chase,Financial Services,Breach exposing data of 83 million households and small businesses,USA,"100,000,000",High,Hacking,Hartman Advisors
2015,Harvard University,Education,Breach exposing information of multiple departments,USA,"6,000,000",Moderate,Hacking,Hartman Advisors
2015,Scottrade,Financial Services,Breach exposing data of 4.6 million customers,USA,"10,000,000",Moderate,Hacking,Hartman Advisors
2015,LastPass,Technology,Breach exposing encrypted passwords and email addresses,USA,"2,000,000",High,Hacking,Hartman Advisors
2015,OPM,Government,Breach exposing sensitive information including fingerprints of 5.6 million people,USA,"50,000,000",High,Hacking,Hartman Advisors
2015,Hacking Team,Technology,"Breach exposing emails, documents, source code, and exploits",Italy,"5,000,000",High,Hacking,Hartman Advisors
2015,Harvard University,Education,Data breach affecting multiple departments,USA,"6,000,000",Moderate,Hacking,Hartman Advisors
2015,German Bundestag,Government,Cyberattack on the Bundestag's internal data network,Germany,"5,000,000",High,Hacking,Hartman Advisors
2015,Indian Oil Corporation,Energy,Operational data breached in a targeted cyber attack,India,"7,000,000",High,Targeted attack,Times of India
2015,Uber,Transportation,"Breach exposing data of 50,000 drivers",USA,"5,000,000",Moderate,Hacking,Hartman Advisors
2015,Carphone Warehouse,Retail,Data breach affecting 2.4 million customers,UK,"7,500,000",Moderate,Hacking,Hartman Advisors
2015,Kids Pass,Education,Breach exposing 6.4 million children's accounts,USA,"1,000,000",High,Hacking,Digital Guardian
2015,Titan Company,Consumer Goods,Customer database compromised due to SQL injection,India,"2,300,000",High,SQL injection,Business Today
2015,MacKeeper,Technology,Breach exposing data of 13 million users,USA,"3,000,000",High,Misconfigured database,Digital Guardian
2015,Hello Kitty,Entertainment,Breach exposing data of 3.3 million accounts,Japan,"500,000",Moderate,Hacking,Digital Guardian
2015,Slack,Technology,Breach exposing user profile information,USA,"2,000,000",Low,Hacking,Digital Guardian
2015,British Airways,Transportation,Data breach exposing personal information and payment details,UK,"26,000,000",High,Hacking,Digital Guardian
2015,TalkTalk,Telecommunications,"Data breach affecting 156,959 customers",UK,"84,000,000",High,Hacking,Hartman Advisors
2016,Yahoo,Technology,Data of 500 million users stolen,USA,"350,000,000",High,Unauthorized access,Reuters
2016,LinkedIn,Technology,Passwords of 117 million users leaked,USA,"100,000,000",High,Stolen credentials,Forbes
2016,Adult FriendFinder,Social Networking,Data of 412 million users exposed,USA,"16,000,000",High,Hacked database,CNN
2016,MySpace,Social Networking,Data of 360 million users breached,USA,"4,000,000",High,Stolen credentials,BBC
2016,IndiGo Airlines,Transportation,Passenger information breached due to third-party compromise,India,"900,000",Moderate,Third-party compromise,Times of India
2016,Dropbox,Technology,Credentials of 68 million users leaked,USA,"3,600,000",High,Stolen credentials,TechCrunch
2016,VKontakte,Social Networking,Data of 171 million users compromised,Russia,"2,000,000",High,Unauthorized access,Reuters
2016,Twitter,Technology,Data of 32 million users leaked,USA,"3,200,000",High,Stolen credentials,CNN
2016,Friendster,Social Networking,Data of 65 million users exposed,USA,"1,000,000",High,Hacked database,Forbes
2016,TeamViewer,Technology,Accounts of millions breached,Germany,"1,700,000",High,Unauthorized access,BBC
2016,Dropbox,Technology,Credentials of 68 million users leaked,USA,"3,600,000",High,Stolen credentials,TechCrunch
2016,Badoo,Social Networking,Data of 112 million users compromised,UK,"1,000,000",High,Unauthorized access,The Guardian
2016,Tumblr,Social Networking,Data of 65 million users breached,USA,"1,000,000",High,Hacked database,Forbes
2016,Maruti Suzuki,Automotive,Employee personal data leaked through phishing attack,India,"300,000",Low,Phishing attack,Livemint
2016,Dailymotion,Technology,Data of 87 million users leaked,France,"1,300,000",High,Stolen credentials,Reuters
2016,Minecraft Forum,Gaming Community,Data of 71 million users breached,USA,"1,100,000",High,Hacked database,TechCrunch
2016,Last.fm,Music Community,Data of 43 million users exposed,UK,"1,000,000",High,Unauthorized access,BBC
2016,MPGH,Gaming Community,Data of 3.1 million users breached,USA,"600,000",High,Stolen credentials,The Guardian
2016,Snapchat,Technology,Data of 4.6 million users exposed,USA,"300,000",High,Unauthorized access,CNN
2016,HCL Technologies,IT Services,Client data exposed due to unsecured server configuration,India,"4,000,000",High,Server config.,Business Standard
2016,Disqus,Technology,Data of 17.5 million users leaked,USA,"300,000",High,Stolen credentials,Forbes
2016,500px,Photography Community,Data of 14.8 million users exposed,Canada,"350,000",High,Unauthorized access,Reuters
2016,PVR Cinemas,Entertainment,Customer payment details stolen in a cyber attack,India,"600,000",Moderate,Cyber attack,Economic Times
2016,InterPals,Social Networking,Data of 1.5 million users exposed,USA,"200,000",High,Unauthorized access,BBC
2016,Rambler,Technology,Data of 98 million users leaked,Russia,"700,000",High,Unauthorized access,Reuters
2016,Evony,Gaming Community,Data of 33 million users compromised,USA,"500,000",High,Stolen credentials,TechCrunch
2016,Demonoid,File Sharing,Data of 3.6 million users exposed,Canada,"400,000",High,Hacked database,The Guardian
2016,Weebly,Technology,Data of 43 million users compromised,USA,"1,200,000",High,Unauthorized access,Forbes
2016,ClixSense,Survey Community,Data of 6.6 million users exposed,USA,"200,000",High,Stolen credentials,BBC
2017,Equifax,Financial Services,Personal data of 143 million customers compromised,USA,$1.4 billion,High,Cyberattack,News outlets
2017,WannaCry Ransomware,Malware,Ransomware attack on global systems,Global,$4 billion,High,Malware infection,Cybersecurity reports
2017,Uber,Technology,Data of 57 million customers and drivers exposed,USA,$148 million,Moderate,Data breach,Company statement
2017,Yahoo,Technology,Data of 3 billion accounts stolen,USA,$350 million,High,Cyberattack,Company disclosure
2017,NHS England,Healthcare,Cyberattack on healthcare system,UK,$100 million,High,Ransomware,NHS statement
2017,Verizon,Telecommunications,Customer data leaked online,USA,"$100,000",Low,Configuration error,Security researcher report
2017,DocuSign,Technology,Phishing attack on customer emails,USA,$15 million,Moderate,Phishing,Company disclosure
2017,Air India,Transportation,Passenger booking information breached in cyber attack,India,"$1,700,000",High,Cyber attack,The Hindu
2017,Chipotle,Retail,Payment system compromised,USA,$30 million,Moderate,Point-of-sale compromise,Company statement
2017,Arby's,Retail,Payment card data breached,USA,$5 million,Moderate,Point-of-sale compromise,Company disclosure
2017,Deloitte,Professional Services,Client data exposed,Global,"$500,000",High,Insider breach,Media reports
2017,Forever 21,Retail,Payment card data stolen,USA,$15 million,Moderate,Point-of-sale compromise,Company statement
2017,Whole Foods,Retail,Payment card information stolen,USA,$5 million,Moderate,Point-of-sale compromise,Company disclosure
2017,GameStop,Retail,Customer payment card data compromised,USA,$10 million,Moderate,Point-of-sale compromise,Company statement
2017,Sonic Drive-In,Retail,Payment card data stolen,USA,$5 million,Moderate,Point-of-sale compromise,Company disclosure
2017,BigBasket,E-commerce,Customer data compromised in a data breach,India,"$2,100,000",High,Data breach,Times of India
2017,InterContinental Hotels Group,Hospitality,Payment card data breach,Global,$50 million,High,Point-of-sale compromise,Company disclosure
2017,Kmart,Retail,Payment card data stolen,USA,$10 million,Moderate,Point-of-sale compromise,Company disclosure
2017,L&T Infotech,IT Services,Intellectual property stolen by ex-employees,India,"$5,600,000",High,Insider theft,Livemint
2017,Brooks Brothers,Retail,Payment card data compromised,USA,$20 million,Moderate,Point-of-sale compromise,Company statement
2017,Saks Fifth Avenue,Retail,Payment card data breach,USA,$20 million,Moderate,Point-of-sale compromise,Company statement
2017,Sabre Corporation,Technology,Travel booking system hacked,Global,$25 million,Moderate,Cyberattack,Company disclosure
2017,Equifax,Financial Services,Additional data breach affecting 2.5 million more customers,USA,$150 million,High,Cyberattack,Company disclosure
2017,Kotak Mahindra Bank,Financial Services,Payment card details compromised in a cyber attack,India,"$3,400,000",High,Cyber attack,Economic Times
2017,ABTA,Travel,Customer data exposed online,UK,"$20,000",Low,Website vulnerability,ABTA statement
2017,Brooks Brothers,Retail,Payment card data exposed,USA,$10 million,Moderate,Point-of-sale compromise,Company statement
2017,Madison Square Garden,Entertainment,Payment card information stolen,USA,$15 million,Moderate,Point-of-sale compromise,Company statement
2017,Blue Cross Blue Shield,Healthcare,Data of 3.5 million members breached,USA,$30 million,High,Cyberattack,Company disclosure
2018,Facebook,Technology,Cambridge Analytica scandal,USA,$5 billion,High,Data misuse,Media reports
2018,Marriott International,Hospitality,Data of 500 million guests exposed,Global,$200 million,High,Cyberattack,Company disclosure
2018,Quora,Technology,Data of 100 million users breached,USA,$10 million,High,Unauthorized access,Company disclosure
2018,Dr. Reddy's Laboratories,Pharmaceuticals,Research data accessed by unauthorized personnel,India,"$6,200,000",High,Unauthorized access,Economic Times
2018,MyFitnessPal,Technology,Data of 150 million users stolen,USA,$5 million,Moderate,Data breach,Company disclosure
2018,Cathay Pacific,Aviation,Data of 9.4 million passengers compromised,Hong Kong,$150 million,High,Cyberattack,Company disclosure
2018,Exactis,Technology,Personal data of 340 million individuals exposed,USA,$50 million,High,Misconfigured database,Security researcher report
2018,British Airways,Aviation,"Data of 500,000 customers compromised",UK,$100 million,High,Magecart attack,Company disclosure
2018,Chegg,Technology,Data of 40 million users breached,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2018,Zomato,E-commerce,User accounts breached in a hacking incident,India,"$1,000,000",High,Hacking incident,Times of India
2018,Ticketmaster,Entertainment,Payment card data compromised,Global,$40 million,High,Third-party software vulnerability,Company disclosure
2018,T-Mobile,Telecommunications,Data of 2 million customers exposed,USA,$30 million,High,Unauthorized access,Company disclosure
2018,Google+,Technology,API bug exposed data of 52 million users,Global,$10 million,High,Software flaw,Company disclosure
2018,Bharat Electronics Limited (BEL),Aerospace,Confidential project details leaked due to phishing attack,India,"$8,000,000",High,Phishing attack,Business Today
2018,Macy's,Retail,Payment card data breach,USA,$20 million,Moderate,Point-of-sale compromise,Company disclosure
2018,Reddit,Technology,Data of undisclosed number of users compromised,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2018,Under Armour,Retail,MyFitnessPal data breach,USA,$30 million,Moderate,Data breach,Company disclosure
2018,Dunkin' Donuts,Retail,Payment card data exposed,USA,$10 million,Moderate,Credential stuffing,Company disclosure
2018,Cathay Pacific,Aviation,"Further data breach affecting 185,000 customers",Hong Kong,$50 million,High,Cyberattack,Company disclosure
2018,Orbitz,Technology,"Data of 880,000 payment cards exposed",USA,$40 million,High,Cyberattack,Company disclosure
2018,Best Buy,Retail,Customer payment card data exposed,USA,$20 million,Moderate,Point-of-sale compromise,Company disclosure
2018,Paytm Mall,E-commerce,Customer data exposed due to misconfigured AWS bucket,India,"$2,500,000",High,Cloud misconfig,Livemint
2018,Facebook,Technology,Security flaw exposed photos of 6.8 million users,Global,$10 million,High,Software flaw,Company disclosure
2018,Twitter,Technology,Passwords stored in plaintext,Global,$15 million,High,Security oversight,Company disclosure
2018,SunTrust Banks,Financial Services,Employee theft of customer data,USA,$40 million,High,Insider breach,Company disclosure
2018,Saks Fifth Avenue,Retail,Payment card data breach,USA,$20 million,Moderate,Point-of-sale compromise,Company statement
2018,Delta Air Lines,Aviation,Third-party vendor data breach,USA,$30 million,High,Vendor breach,Company disclosure
2018,Adidas,Retail,Online store data breach,Global,$10 million,Moderate,Cyberattack,Company disclosure
2019,Capital One,Financial Services,Data of 100 million customers exposed,USA,$300 million,High,Insider breach,Company disclosure
2019,First American Financial Corporation,Financial Services,Millions of mortgage documents exposed,USA,$500 million,High,Website misconfiguration,Media reports
2019,Facebook,Technology,Millions of user passwords stored in plaintext,Global,$100 million,High,Security oversight,Company disclosure
2019,Canva,Technology,Data of 139 million users breached,Global,$10 million,Moderate,Data breach,Company disclosure
2019,Zynga,Technology,Data of 218 million users exposed,USA,$30 million,Moderate,Data breach,Company disclosure
2019,Ola Cabs,Transportation,Driver and passenger data exposed in cloud storage breach,India,"$1,800,000",High,Cloud breach,Livemint
2019,Desjardins Group,Financial Services,Employee theft of customer data,Canada,$70 million,High,Insider breach,Company disclosure
2019,CafePress,Retail,Data of 23 million users breached,USA,$10 million,Moderate,Data breach,Company disclosure
2019,MoviePass,Technology,Unsecured server exposed customer data,USA,$5 million,Moderate,Server misconfiguration,Security researcher report
2019,Suprema,Technology,Biometric data of millions exposed,Global,$20 million,High,Data breach,Security researcher report
2019,UrbanClap (now Urban Company),Services,Customer information accessed by unauthorized party,India,"$1,200,000",High,Unauthorized access,Economic Times
2019,Adobe,Technology,Database with 7.5 million Creative Cloud user records exposed,Global,$20 million,Moderate,Server misconfiguration,Security researcher report
2019,Wawa,Retail,Payment card data breach,USA,$40 million,High,Malware attack,Company disclosure
2019,Estée Lauder,Retail,Misconfigured database exposed customer data,USA,$10 million,Moderate,Data breach,Security researcher report
2019,DoorDash,Technology,Data of 4.9 million users breached,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2019,Biostar 2,Technology,Biometric data of millions exposed,Global,$30 million,High,Data breach,Security researcher report
2019,Georgia Tech,Education,Data of 1.3 million individuals exposed,USA,$10 million,High,Unauthorized access,Company disclosure
2019,Jio (Reliance Jio Infocomm),Telecommunications,User data leaked on the web,India,"$5,500,000",High,Web leak,Times of India
2019,StockX,Retail,Data breach affecting millions of users,USA,$5 million,Moderate,Data breach,Company disclosure
2019,MGM Resorts,Hospitality,Data of 10.6 million guests exposed,USA,$20 million,Moderate,Unauthorized access,Company disclosure
2019,Mixcloud,Technology,Data of 21 million users exposed,Global,$10 million,Moderate,Data breach,Company disclosure
2019,Evite,Technology,Data of 101 million users breached,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2019,DoorDash,Technology,Additional data breach affecting 4.9 million users,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2019,Tata Steel,Manufacturing,Employee records compromised due to cyber attack,India,"$3,000,000",High,Cyber attack,The Hindu
2019,Zoll Medical,Healthcare,Patient data of millions exposed,Global,$10 million,High,Data breach,Security researcher report
2019,Macy's,Retail,Data breach exposing customer data,USA,$15 million,Moderate,Unauthorized access,Company disclosure
2019,DoorDash,Technology,Another data breach affecting 4.9 million users,USA,$5 million,Moderate,Unauthorized access,Company disclosure
2019,Suprema,Technology,Biometric data of millions exposed again,Global,$30 million,High,Data breach,Security researcher report
2019,Quest Diagnostics,Healthcare,Data of 12 million patients exposed,USA,$50 million,High,Data breach,Company disclosure
2020,Marriott International,Hospitality,Data of 5.2 million guests exposed,Global,$25 million,Moderate,Unauthorized access,Company disclosure
2020,Swiggy,E-commerce,User data compromised in a hacking incident,India,"$1,200,000",High,Hacking incident,The Hindu
2020,Estée Lauder,Retail,Customer data exposed on unsecured server,USA,$20 million,Moderate,Misconfigured server,Security researcher report
2020,EasyJet,Aviation,Data of 9 million customers breached,UK,$10 million,Moderate,Cyberattack,Company disclosure
2020,"University of California, San Francisco",Education,"Data breach affecting 10,000 individuals",USA,$5 million,Moderate,Unauthorized access,University statement
2020,Apollo Hospitals,Healthcare,Patient records exposed in a cyber attack,India,"$2,700,000",High,Cyber attack,Business Today
